Year,Source,TWh
2000,Fossil Fuels,8508.23
2001,Fossil Fuels,8685.66
2002,Fossil Fuels,9079.14
2003,Fossil Fuels,9580.57
2004,Fossil Fuels,9992.11
2005,Fossil Fuels,10462.12
2006,Fossil Fuels,10910.869999999999
2007,Fossil Fuels,11707.16
2008,Fossil Fuels,11701.19
2009,Fossil Fuels,11584.109999999999
2010,Fossil Fuels,12450.16
2011,Fossil Fuels,13043.56
2012,Fossil Fuels,13382.91
2013,Fossil Fuels,13696.81
2014,Fossil Fuels,13962.82
2015,Fossil Fuels,13926.750000000002
2016,Fossil Fuels,14139.119999999999
2017,Fossil Fuels,14428.900000000001
2018,Fossil Fuels,14885.92
2019,Fossil Fuels,14786.73
2020,Fossil Fuels,14369.39
2000,Nuclear,2242.95
2001,Nuclear,2306.33
2002,Nuclear,2315.0499999999997
2003,Nuclear,2274.46
2004,Nuclear,2381.59
2005,Nuclear,2371.75
2006,Nuclear,2395.7200000000003
2007,Nuclear,2341.79
2008,Nuclear,2318.8900000000003
2009,Nuclear,2283.53
2010,Nuclear,2343.51
2011,Nuclear,2223.34
2012,Nuclear,2051.5
2013,Nuclear,2078.7
2014,Nuclear,2108.0
2015,Nuclear,2122.51
2016,Nuclear,2164.1
2017,Nuclear,2205.41
2018,Nuclear,2276.16
2019,Nuclear,2351.13
2020,Nuclear,2228.6
2000,Renewables,2559.76
2001,Renewables,2487.22
2002,Renewables,2568.9
2003,Renewables,2595.82
2004,Renewables,2794.82
2005,Renewables,2928.52
2006,Renewables,3068.19
2007,Renewables,3179.29
2008,Renewables,3451.28
2009,Renewables,3527.05
2010,Renewables,3838.4900000000002
2011,Renewables,4024.22
2012,Renewables,4329.59
2013,Renewables,4614.94
2014,Renewables,4902.77
2015,Renewables,5125.79
2016,Renewables,5442.4
2017,Renewables,5794.04
2018,Renewables,6200.29
2019,Renewables,6551.52
2020,Renewables,6971.04
